ticker,chart_symbol,former_symbols,windows,n_windows,start,end,days,mktcap_bucket,best_rank,num_flagpoles,hh_dates,resistances,latest_resistance,is_valid_flag,notes
MNKD,MNKD,,1M,1,2022-11-25,2022-12-19,24,small,14.0,4.0,2022-12-02; 2022-12-23; 2022-12-29; 2023-01-31,4.84; 5.3085; 5.465; 5.51,5.51,,
MNKD,MNKD,,3M,1,2022-12-27,2022-12-30,3,small,13.0,3.0,2022-12-23; 2022-12-29; 2023-01-31,5.3085; 5.465; 5.51,5.51,,
MNKD,MNKD,,6M,1,2023-03-01,2023-03-02,1,small,9.0,1.0,2023-02-27,5.7299,5.7299,,
MNKD,MNKD,,1M,1,2023-08-11,2023-08-18,7,small,14.0,1.0,2023-08-09,5.75,5.75,,
MNKD,MNKD,,6M,1,2024-09-16,2024-09-17,1,small,15.0,2.0,2024-09-19; 2024-10-22,6.92; 6.719,6.719,,
MNPR,MNPR,,1M+3M+6M,3,2024-10-28,2024-12-05,38,small,1.0,3.0,2024-10-24; 2024-12-04; 2024-12-18,38.5; 25.97; 32.2,32.2,,
MNPR,MNPR,,1M+3M+6M,3,2026-07-02,2026-09-10,70,small,2.0,4.0,2026-07-06; 2026-07-09; 2026-07-22; 2026-08-06,101.09; 112.57; 116.635; 124.82,124.82,,
MNSO,MNSO,,1M,1,2020-12-21,2021-01-25,35,large_plus,1.0,5.0,2020-12-24; 2021-01-13; 2021-01-20; 2021-01-25; 2021-02-09,31.6; 31.43; 32.66; 34.99; 35.21,35.21,,
MNSO,MNSO,,1M+3M+6M,3,2021-04-23,2021-05-07,14,large_plus,1.0,2.0,2021-04-28; 2021-05-24,28.55; 25.39,25.39,,
MNSO,MNSO,,1M+3M+6M,3,2022-12-07,2023-03-22,105,mid,1.0,6.0,2022-12-05; 2023-01-10; 2023-02-02; 2023-02-16; 2023-03-06; 2023-04-28,13.0; 13.66; 16.47; 17.5; 19.49; 18.55,18.55,,
MNSO,MNSO,,3M+6M,2,2023-11-09,2023-11-21,12,mid,4.0,2.0,2023-11-20; 2023-12-28,28.1599; 21.43,21.43,,
MNSO,MNSO,,1M,1,2024-10-04,2024-10-07,3,mid,11.0,2.0,2024-10-07; 2024-10-30,21.4293; 20.62,20.62,,
MNST,MNST,,1M+3M+6M,3,2005-02-14,2005-05-24,99,small,2.0,5.0,2005-03-15; 2005-04-06; 2005-04-26; 2005-05-10; 2005-06-13,58.89; 61.9; 63.35; 73.69; 82.9,82.9,,
MNST,MNST,,1M+3M+6M,3,2005-07-22,2005-08-01,10,small,5.0,3.0,2005-07-20; 2005-08-23; 2005-09-02,108.0; 46.64; 51.65,51.65,,
MNST,MNST,,1M+3M+6M,3,2005-11-15,2005-11-16,1,small,1.0,2.0,2005-11-15; 2005-12-13,72.65; 88.29,88.29,,
MNST,MNST,,1M+3M+6M,3,2006-01-30,2006-02-01,2,mid,2.0,2.0,2006-02-23; 2006-03-06,98.0; 103.6,103.6,,
MNST,MNST,,1M+3M+6M,3,2006-03-14,2006-03-28,14,mid,1.0,4.0,2006-03-16; 2006-04-03; 2006-04-26; 2006-05-10,118.25; 129.42; 145.67; 202.1,202.1,,
